id,product_id,quantity,created_date
1,11,1,'2024-12-01'
2,17,2,'2024-12-01'
3,19,1,'2024-12-01'
4,12,1,'2024-12-01'
5,11,2,'2024-12-01'
6,17,1,'2024-12-01'
7,5,5,'2024-12-01'
8,5,4,'2024-12-01'
9,5,2,'2024-12-02'
10,1,4,'2024-12-02'
11,15,5,'2024-12-02'
12,7,4,'2024-12-02'
13,13,3,'2024-12-02'
14,13,5,'2024-12-03'
15,5,3,'2024-12-03'
16,2,2,'2024-12-03'
17,17,1,'2024-12-05'
18,6,2,'2024-12-05'
19,1,4,'2024-12-05'
20,5,1,'2024-12-05'
21,7,4,'2024-12-05'
22,3,2,'2024-12-05'
23,18,2,'2024-12-06'
24,5,1,'2024-12-06'
25,20,3,'2024-12-06'
26,20,4,'2024-12-06'
27,19,5,'2024-12-06'
28,20,5,'2024-12-06'
29,11,1,'2024-12-06'
30,18,2,'2024-12-06'
31,5,1,'2024-12-06'
32,4,5,'2024-12-06'
33,18,4,'2024-12-07'
34,18,4,'2024-12-07'
35,7,3,'2024-12-07'
36,13,5,'2024-12-07'
37,12,3,'2024-12-09'
38,17,1,'2024-12-09'
39,14,4,'2024-12-09'
40,19,4,'2024-12-09'
41,17,5,'2024-12-09'
42,19,4,'2024-12-09'
43,14,3,'2024-12-09'
44,4,2,'2024-12-10'
45,5,3,'2024-12-10'
46,8,3,'2024-12-10'
47,10,1,'2024-12-10'
48,14,3,'2024-12-10'
49,6,1,'2024-12-10'
50,19,5,'2024-12-10'